signal,period,mean_ic,n_dates,positive_train_validation_fold2,positive_all_windows_and_fold2,min_train_validation_fold2_ic
stablecoin_supply_chg_4w,fold_4,,0,False,False,
stablecoin_supply_chg_8w,Train,,0,False,False,
stablecoin_supply_chg_8w,Validation,,0,False,False,
stablecoin_supply_chg_8w,Test,,0,False,False,
stablecoin_supply_chg_8w,fold_1,,0,False,False,
stablecoin_supply_chg_8w,fold_2,,0,False,False,
stablecoin_supply_chg_8w,fold_3,,0,False,False,
stablecoin_supply_chg_8w,fold_4,,0,False,False,
active_addresses_chg_4w,Train,,0,False,False,
active_addresses_chg_4w,Validation,,0,False,False,
active_addresses_chg_4w,Test,,0,False,False,
active_addresses_chg_4w,fold_1,,0,False,False,
active_addresses_chg_4w,fold_2,,0,False,False,
active_addresses_chg_4w,fold_3,,0,False,False,
active_addresses_chg_4w,fold_4,,0,False,False,
active_addresses_chg_8w,Train,,0,False,False,
active_addresses_chg_8w,Validation,,0,False,False,
active_addresses_chg_8w,Test,,0,False,False,
active_addresses_chg_8w,fold_1,,0,False,False,
active_addresses_chg_8w,fold_2,,0,False,False,
active_addresses_chg_8w,fold_3,,0,False,False,
active_addresses_chg_8w,fold_4,,0,False,False,
revenue_to_mcap,Train,-0.004662630031107055,349,False,False,-0.009917962494132692
revenue_to_mcap,Validation,0.002088069079483123,169,False,False,-0.009917962494132692
revenue_to_mcap,Test,-0.01864806331625356,171,False,False,-0.009917962494132692
revenue_to_mcap,fold_1,-0.08440921519159032,92,False,False,-0.009917962494132692
revenue_to_mcap,fold_2,-0.009917962494132692,89,False,False,-0.009917962494132692
revenue_to_mcap,fold_3,-0.02575048065867026,92,False,False,-0.009917962494132692
revenue_to_mcap,fold_4,0.024349098908674018,92,False,False,-0.009917962494132692
trading_fees_to_mcap,Train,-3.624836100902141e-05,349,False,False,-0.010843413744825241
trading_fees_to_mcap,Validation,-0.007485156856980281,169,False,False,-0.010843413744825241
trading_fees_to_mcap,Test,-0.005920852008444607,171,False,False,-0.010843413744825241
trading_fees_to_mcap,fold_1,-0.03233881003417614,92,False,False,-0.010843413744825241
trading_fees_to_mcap,fold_2,-0.010843413744825241,89,False,False,-0.010843413744825241
trading_fees_to_mcap,fold_3,0.009720701729866109,92,False,False,-0.010843413744825241
trading_fees_to_mcap,fold_4,-0.030004260550125304,92,False,False,-0.010843413744825241
tvl_to_mcap,Train,-0.08451820974963078,349,False,False,-0.08451820974963078
tvl_to_mcap,Validation,0.18163543980968894,169,False,False,-0.08451820974963078
tvl_to_mcap,Test,0.1175611629006731,171,False,False,-0.08451820974963078
tvl_to_mcap,fold_1,-0.24302453135145888,92,False,False,-0.08451820974963078
tvl_to_mcap,fold_2,0.0074975772354240675,89,False,False,-0.08451820974963078
tvl_to_mcap,fold_3,0.16324179562473956,92,False,False,-0.08451820974963078
tvl_to_mcap,fold_4,0.21511891650293305,92,False,False,-0.08451820974963078
