model,variant,horizon,period,eligible_universe,n_rebalances,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_turnover,total_cost,btc_total_return,excess_return,beta,alpha,information_ratio,correlation,up_capture,down_capture,drawdown_vs_btc
heuristic,sticky_l_s,7,Train,eligible_sensitivity,51,-0.10384906224265034,-0.10604825839532317,0.32519071308424197,-0.18197749683786926,-0.24768899451910023,-0.31717278202437116,-0.33435485137931714,0.47058823529411764,0.8705882352941177,0.22200000000000003,0.5912546450163658,-0.6951037072590162,-0.10905148634034158,-0.039755283930847776,-1.074105662857155,-0.14667472392980177,-0.10293677925360528,-0.10283270763557463,-0.07734338074896785
heuristic,always_l_s,14,Train,eligible_sensitivity,25,-0.29595783028090417,-0.30646690973842317,0.36716312271354345,-0.7968564979312741,-0.8352142486476842,-0.4313966289746335,-0.7104063619292762,0.52,1.3360000000000003,0.16700000000000004,0.4383175182240755,-0.7342753485049797,-0.3850756592643629,-0.12898620496683505,-1.1047692179144293,-0.44760105735046846,-0.5559178180703316,-0.5121597196316745,-0.23221289037845527
heuristic,sticky_l_s,14,Train,eligible_sensitivity,25,-0.357817931762635,-0.36989205822193405,0.4165331415042828,-0.8750524334057441,-0.8569187634815809,-0.5100409395950616,-0.7252203294025841,0.6,1.088,0.136,0.4383175182240755,-0.7961354499867105,-0.36524153180090235,-0.2015528684644845,-1.171187486800411,-0.3742266265833667,-0.6046142941886814,-0.4903096587071042,-0.31085720099888337
heuristic,always_l_s,30,Train,eligible_sensitivity,12,-0.10705947212244538,-0.10846270710129424,0.2829076361418031,-0.272663234529591,-0.5061391287317962,-0.2610218239293107,-0.41553118229174524,0.5,1.5,0.09000000000000002,0.5873405303467063,-0.6944000024691517,-0.39892499634061324,0.1299189316030262,-0.9844532150130156,-0.5765835481694982,-0.14260354172270237,-0.15240807917964558,-0.08633289729982752
heuristic,sticky_l_s,30,Train,eligible_sensitivity,12,-0.06081296413987047,-0.06163101307486607,0.2552495972287083,-0.12947100552937402,-0.2992704496494527,-0.21735291957536296,-0.2835527270361634,0.5833333333333334,1.3333333333333333,0.08000000000000002,0.5873405303467063,-0.6481534944865768,-0.3403053850962804,0.14172188810531333,-0.95864665139178,-0.5451542757336999,-0.0674454487760412,-0.08219023154515871,-0.04266399294587975
learned_global,always_l_s,7,Train,eligible_base,51,-0.005229271203948782,-0.005346139961218688,0.32503628200992435,0.14324339064702432,0.23208587419708424,-0.2518822988704844,-0.021224754519044722,0.49019607843137253,0.9529411764705884,0.24300000000000005,0.5912546450163658,-0.5964839162203146,-0.2358324931212617,0.138017678075967,-0.8371666327913926,-0.317346435920416,-0.24674968315680468,-0.43002431953887593,-0.012052897595081102
learned_global,sticky_l_s,7,Train,eligible_base,51,0.09444301129837362,0.09665855346851449,0.33894392560989145,0.4386792427381291,0.6841698278583459,-0.23505110870217383,0.41122355900472535,0.5294117647058824,0.7803921568627449,0.199,0.5912546450163658,-0.4968116337179922,-0.23203719247454682,0.237715188198978,-0.6685197313295582,-0.29942742227969676,-0.1721506635342868,-0.4132054911576898,0.004778292573229481
learned_global,always_l_s,14,Train,eligible_base,25,0.149320133051005,0.156195683472089,0.4114698170000494,0.5655310968420455,0.5813165621552927,-0.34829270186868677,0.4484609715737824,0.68,1.2560000000000002,0.15700000000000003,0.4383175182240755,-0.2889973851730705,-0.20419528571439105,0.25030893718659053,-0.35848719716172817,-0.21179310570420848,-0.2961178966570483,-0.8328625425741668,-0.14910896327250855
learned_global,sticky_l_s,14,Train,eligible_base,25,0.17430725654086632,0.18242169838452105,0.39934927003912357,0.6251626516430115,0.6274499158278223,-0.32675122086729835,0.5582892633126747,0.68,1.0640000000000003,0.133,0.4383175182240755,-0.2640102616832092,-0.21226265187875842,0.28025318719920433,-0.3356124171413171,-0.22684268640815558,-0.2869197870138926,-0.8418560238909221,-0.12756748227112014
learned_global,always_l_s,30,Train,eligible_base,12,0.4207127932760857,0.4276588247215154,0.44864982027385203,0.9940490571884433,4.205014170206362,-0.18671601879411492,2.2904238612385983,0.5833333333333334,1.2500000000000002,0.07500000000000001,0.5873405303467063,-0.16662773707062062,-0.6676831213678422,0.826639580670395,-0.1474601752069669,-0.6085251977178942,-0.01315752443572615,-1.3469987240488244,-0.012027092164631714
learned_global,sticky_l_s,30,Train,eligible_base,12,0.5241567471830926,0.5331043334273013,0.4356806875478228,1.1813583728459567,2.9252618751352455,-0.12797549252037843,4.165675184585919,0.5833333333333334,1.05,0.06299999999999999,0.5873405303467063,-0.06318378316361373,-0.6122824101517237,0.8989798378972611,-0.06340192370433978,-0.5746443490537745,-0.012504249169776454,-1.5474093297158198,0.04671343410910478
learned_global,always_l_s,7,Train,eligible_sensitivity,51,0.050086469691726254,0.05123713585063738,0.32382565739687236,0.3133329431254083,0.5198805221236501,-0.23454638691330154,0.21845203639643718,0.49019607843137253,0.8705882352941177,0.22200000000000003,0.5912546450163658,-0.5411681753246396,-0.18863098347006615,0.16590690689220838,-0.7688360623880008,-0.2547789818459423,-0.1708931336561742,-0.36524804186445975,0.005283014362101768
learned_global,sticky_l_s,7,Train,eligible_sensitivity,51,0.18818620854287027,0.19278616006551252,0.31305304891796654,0.7167323610032258,1.2336448325632867,-0.2064084169371776,0.9340033847756745,0.5294117647058824,0.6470588235294118,0.16499999999999998,0.5912546450163658,-0.40306843647349555,-0.15727393414125376,0.2883938152185515,-0.5837509908662597,-0.21973570796244662,-0.10750826577407484,-0.38615400368468494,0.03342098433822571
learned_global,always_l_s,14,Train,eligible_sensitivity,25,0.10696568350219149,0.11179731695138795,0.34505154964430784,0.48742230446858403,0.46068358853012314,-0.3237568983389817,0.34531254013415125,0.68,1.064,0.133,0.4383175182240755,-0.331351834721884,-0.21894302345630118,0.21270777746213582,-0.48000967121411686,-0.27080159622138794,-0.2582586121937207,-0.676272741875073,-0.12457315974280347
learned_global,sticky_l_s,14,Train,eligible_sensitivity,25,0.07147835444449635,0.0746533701167027,0.3383646609686665,0.3844382199103044,0.44135824021731823,-0.2985489349791446,0.25005404933672826,0.48,0.8320000000000002,0.10400000000000001,0.4383175182240755,-0.36683916377957915,-0.24902691562419915,0.18942944445105875,-0.5357093580020439,-0.3140981524539314,-0.3365846782681523,-0.7529264552729373,-0.09936519638296637
learned_global,always_l_s,30,Train,eligible_sensitivity,12,-0.095178272982396,-0.09643431514965106,0.26597432331027604,-0.253309578251515,-0.46468958537331234,-0.24186454376282007,-0.39871207928772545,0.5833333333333334,1.1833333333333333,0.07100000000000001,0.5873405303467063,-0.6825188033291023,-0.39598665685615103,0.14019148928055525,-0.9815240902842142,-0.608774574986244,-0.11503216994093973,-0.10779206899443614,-0.06717561713333686
learned_global,sticky_l_s,30,Train,eligible_sensitivity,12,-0.09182552180416959,-0.09303962955306999,0.28319073711006637,-0.20920751399181298,-0.3998721047253728,-0.2575254374489274,-0.3612832599168836,0.5833333333333334,1.0166666666666668,0.060999999999999985,0.5873405303467063,-0.6791660521508759,-0.41242930474610145,0.15341164428767642,-0.9513099974235937,-0.5955059961327591,-0.11000020340185057,-0.11831848929513648,-0.08283651081944421
learned_regime_specific,regime_aware_l_s,7,Train,eligible_base,51,0.013607666356832526,0.013914711923817435,0.3286161382721731,0.20381878406343903,0.34848252891940934,-0.2518822988704844,0.05524291300426892,0.5294117647058824,1.0078431372549022,0.257,0.5912546450163658,-0.5776469786595333,-0.22455746077470323,0.15042437825229754,-0.8068460604663309,-0.29888245760051924,-0.2264463138423974,-0.41826113018656413,-0.012052897595081102
learned_regime_specific,regime_aware_l_s,14,Train,eligible_base,25,0.11694445657918884,0.12225118645246513,0.41884107196163334,0.4916737187551951,0.5120143385591448,-0.34829270186868677,0.3510012865516667,0.72,1.3440000000000003,0.16800000000000004,0.4383175182240755,-0.32137306164488666,-0.23872842081163972,0.23228070235487216,-0.3902848811952369,-0.24325341936848816,-0.2887559626509582,-0.7819146177581493,-0.14910896327250855
learned_regime_specific,regime_aware_l_s,30,Train,eligible_base,12,0.44589229319320123,0.4533159944394558,0.4445383282156172,1.0410126400683402,3.9414829872085195,-0.18671601879411515,2.427836654654203,0.5833333333333334,1.2833333333333339,0.07700000000000001,0.5873405303467063,-0.14144823715350507,-0.6611824306159118,0.8484121973310683,-0.1271332686072861,-0.608173873472093,0.006532239593767096,-1.3440160318303154,-0.012027092164631936
learned_regime_specific,regime_aware_l_s,7,Train,eligible_sensitivity,51,-0.015074240698084052,-0.015409422847301957,0.3264914892035089,0.11266488056218585,0.19125101938729563,-0.2607959814930849,-0.05908612072579248,0.47058823529411764,0.9176470588235294,0.234,0.5912546450163658,-0.6063288857144499,-0.17593940503614075,0.09154507063804872,-0.8778592456953855,-0.2356964703036498,-0.19327393396130063,-0.3371361814923389,-0.020966580217681607
learned_regime_specific,regime_aware_l_s,14,Train,eligible_sensitivity,25,0.06741080771463337,0.07039927690881775,0.3529988755913776,0.3759265908642373,0.3822389206697835,-0.3237568983389816,0.21744487073479418,0.68,1.12,0.14,0.4383175182240755,-0.37090671050944213,-0.24949870956381315,0.18539280025324528,-0.5249930757903798,-0.30164704326586805,-0.31072409014461394,-0.7132618491106537,-0.12457315974280336
learned_regime_specific,regime_aware_l_s,30,Train,eligible_sensitivity,12,-0.095178272982396,-0.09643431514965106,0.26597432331027604,-0.25330957825151496,-0.46468958537331234,-0.24186454376282007,-0.39871207928772545,0.5833333333333334,1.1833333333333333,0.07100000000000001,0.5873405303467063,-0.6825188033291023,-0.39598665685615103,0.14019148928055525,-0.9815240902842142,-0.608774574986244,-0.11503216994093973,-0.10779206899443614,-0.06717561713333686
