model,variant,horizon,period,eligible_universe,n_rebalances,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_turnover,total_cost,btc_total_return,excess_return,beta,alpha,information_ratio,correlation,up_capture,down_capture,drawdown_vs_btc,train_start,train_end,validation_start,validation_end,purge_days,weight_fundamentals,weight_momentum,weight_flows,weight_factor_improvement
learned_global,sticky_l_s,14,fold_2,eligible_base,7,0.06714219020346723,0.2738363348635384,0.4031657654309102,0.7810668529108281,1.4910009891721812,-0.1803507115989038,1.5183546127200467,0.7142857142857143,0.9142857142857144,0.032,0.06568445492499086,0.0014577352784763686,-0.7702736467716095,0.4797824459381324,-0.0010640070314293381,-0.6973786530699825,-0.44412187497046857,-1.1997035184004063,-0.03752509245445956,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,long_only,14,fold_2,eligible_base,7,0.11721419554924917,0.5110669239520136,0.39406456725440303,1.229745324271995,1.5379807020605385,-0.15816012122755962,3.231326076291344,0.7142857142857143,0.9428571428571428,0.033,0.06568445492499086,0.0515297406242583,0.8498101640645679,0.2838553359997473,0.6274692109417561,0.7871577785421323,0.7684516364911821,0.3666998214581167,-0.015334502083115376,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,short_only,14,fold_2,eligible_base,7,-0.3601356080124598,-0.810426983307784,1.2410806350373524,-0.6478932925683997,-2.4345749217730366,-0.6137188649708718,-1.320518285430656,0.7142857142857143,1.2857142857142858,0.045,0.06568445492499086,-0.42582006293745067,-3.0849787183973767,0.014395951326777734,-0.6839396246713663,-0.9073177978628277,-2.600695816924235,-2.6288914690113,-0.47089324582642755,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,regime_switch,14,fold_2,eligible_base,7,-0.5701874957515813,-0.9569323129308025,1.1005358312728493,-2.1114360371586653,-2.5543193178956978,-0.6137188649708718,-1.5592356167448433,0.42857142857142855,1.2857142857142858,0.045,0.06568445492499086,-0.6358719506765722,-1.756696594833075,-0.4872488003763028,-1.8956574066404075,-0.5826393728006796,-2.600695816924235,-0.10600873460735133,-0.47089324582642755,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,always_l_s,14,fold_2,eligible_sensitivity,7,-0.24323518091698826,-0.6458467478202122,0.6511195185480468,-1.2489864829486899,-1.3917878670039974,-0.29109343741069627,-2.2186922301137404,0.5714285714285714,1.0285714285714287,0.036000000000000004,0.06568445492499086,-0.3089196358419791,-0.955973800094538,-0.390250457795445,-1.1883734844330898,-0.535910828580875,-0.7911220538909182,0.14435690440809382,-0.14826781826625202,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,sticky_l_s,14,fold_2,eligible_sensitivity,7,-0.27964815331119663,-0.7052684748648136,0.6126805329179569,-1.6484729646046854,-1.7893044112451002,-0.3572267848008144,-1.9742877770435476,0.5714285714285714,0.9142857142857144,0.032,0.06568445492499086,-0.3453326082361875,-1.2714317434095477,-0.3653289947210429,-1.3587202116254304,-0.7574713752274045,-1.2800767260754704,-0.27424016108237204,-0.21440116565637013,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,long_only,14,fold_2,eligible_sensitivity,7,-0.016742651850422452,-0.06094925015639252,0.3404908899086626,-0.03213195564501508,-0.039755023134306886,-0.15816012122755974,-0.3853642099116701,0.5714285714285714,0.8285714285714286,0.029000000000000005,0.06568445492499086,-0.08242710677541332,0.8061984062109786,-0.27650047303617087,-1.5123785132533374,0.8642585717571666,0.5664307887546556,0.8814869468582075,-0.015334502083115487,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,short_only,14,fold_2,eligible_sensitivity,7,-0.5448317636444582,-0.9466830980312052,1.3983916626246766,-1.1552831441348967,-1.360359514696487,-0.6283113566037304,-1.5067101494844835,0.5714285714285714,1.2285714285714289,0.04300000000000001,0.06568445492499086,-0.610516218569449,-2.718146006400054,-0.21993929510189247,-1.1183944091960574,-0.7094980598833895,-2.1486748965364924,-0.5927731380420198,-0.48548573745928614,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15,0.35000000000000003,0.6000000000000001,0.05,0.0
learned_global,regime_switch,14,fold_2,eligible_sensitivity,7,-0.6274910146285684,-0.9747242988135933,1.195871199703486,-2.107362046730528,-2.188432251783594,-0.6283113566037304,-1.551339616209328,0.2857142857142857,1.2857142857142858,0.045,0.06568445492499086,-0.6931754695535592,-1.5385516578620781,-0.5633656447143772,-1.9617093719680763,-0.46960740077717594,-2.1486748965364924,0.9090384793801559,-0.48548573745928614,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,always_l_s,14,fold_3,eligible_base,7,-0.004754369042839324,-0.017593226845017518,0.2891543611220522,0.061317230248523445,0.12447762119914298,-0.07264055451029539,-0.2421956572829303,0.5714285714285714,1.2,0.042,0.2042335030221758,-0.20898787206501512,-1.0683709687388854,1.0486936679459724,-1.5664974454901275,-0.641961136760857,-0.004296085985740301,-0.7039024440567107,-0.06465198577235864,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
