model,variant,horizon,period,eligible_universe,n_rebalances,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_turnover,total_cost,btc_total_return,excess_return,beta,alpha,information_ratio,correlation,up_capture,down_capture,drawdown_vs_btc,scheme,weight_fundamentals,weight_momentum,weight_flows,weight_factor_improvement,train_start,train_end,validation_start,validation_end,purge_days,fold_retrained_rolling_folds,fold_retrained_rolling_positive_folds,fold_retrained_rolling_avg_total_return,fold_retrained_rolling_min_total_return,fold_retrained_rolling_avg_sharpe,validation_total_return_gt_0,validation_sharpe_gt_0,fold_retrained_rolling_positive_folds_ge_3,fold_retrained_rolling_avg_return_gt_0,would_clear_strict_gate_no_leakage
equal_family,sticky_l_s,14,fold_4,eligible_sensitivity,7,-0.2135765631932649,-0.5913292974586204,0.28632791228894355,-2.949847933988646,-6.092850280624186,-0.1723465205075665,-3.431048655447961,0.14285714285714285,1.342857142857143,0.047,-0.09092618285710707,-0.12265038033615783,0.011143847684119686,-0.5879988149466084,-1.2895060535473752,0.009957934623180818,-0.9101822471901742,0.5298142673572723,-0.04398022916110467,equal_family,0.25,0.25,0.25,0.25,2024-05-01,2025-07-17,2025-08-01,2025-10-31,15.0,4,0,-0.14094009501443763,-0.2135765631932649,-1.342421483500745,False,False,False,False,False
equal_family,sticky_l_s,14,Test,eligible_sensitivity,13,-0.020091451521024206,-0.039886311246252526,0.14378695051965626,-0.21642203850584185,-0.37389772406295013,-0.08332609625447474,-0.4786773056599369,0.46153846153846156,1.2153846153846157,0.07900000000000001,-0.28923388204233946,0.26914243052131526,-0.26769833563878026,-0.17259998702403534,1.1599949962454585,-0.661656625337476,-0.34614524399319657,-0.11406753907114915,0.2167991723601359,equal_family,0.25,0.25,0.25,0.25,,,,,,4,0,-0.14094009501443763,-0.2135765631932649,-1.342421483500745,False,False,False,False,False
shrunk_50_to_equal,sticky_l_s,14,Validation,eligible_sensitivity,13,-0.1852796500098699,-0.33697765599745466,0.3276609756792693,-1.08357988541888,-1.2203836933031014,-0.2845859896369486,-1.184097841314476,0.5384615384615384,1.169230769230769,0.07600000000000001,0.1312957529760912,-0.3165754029859611,-0.4157461449116461,-0.22027859776606368,-1.2702718193715856,-0.34064835716182745,-0.7757913971385932,-0.4336071897635792,-0.1553209853827433,shrunk_50_to_equal,0.4,0.35,0.125,0.125,,,,,,4,0,-0.11390030341878202,-0.2086348812176091,-1.0700069449404992,False,False,False,False,False
shrunk_50_to_equal,sticky_l_s,14,fold_1,eligible_sensitivity,7,-0.059872633692535815,-0.20542642367710473,0.6835102837210735,0.005403088226346248,0.0041535790362656096,-0.30959163137282186,-0.6635399760845684,0.7142857142857143,1.2000000000000004,0.042,0.3901996605680973,-0.4500722942606331,0.011905756304424255,-0.2341319287552388,-1.4997827505043295,0.009887061449725437,-0.3599615066470992,-1.3032456725786215,-0.23033282788612974,shrunk_50_to_equal,0.225,0.42500000000000004,0.225,0.125,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15.0,4,0,-0.11390030341878202,-0.2086348812176091,-1.0700069449404992,False,False,False,False,False
shrunk_50_to_equal,sticky_l_s,14,fold_2,eligible_sensitivity,7,-0.09507429916875176,-0.31070476909806877,0.3790578296258092,-0.800879409536559,-1.070956813234261,-0.2142037503500206,-1.4505104069856865,0.7142857142857143,1.2857142857142858,0.045,0.06568445492499086,-0.16075875409374263,-0.8241725836805764,-0.09034783598122992,-0.812295827529329,-0.7936334218488758,-0.7318576890560405,-0.6114543006813848,-0.07137813120557635,shrunk_50_to_equal,0.25,0.42500000000000004,0.15,0.175,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15.0,4,0,-0.11390030341878202,-0.2086348812176091,-1.0700069449404992,False,False,False,False,False
shrunk_50_to_equal,sticky_l_s,14,fold_3,eligible_sensitivity,7,-0.0920193995962314,-0.3019980893906188,0.3176118961301538,-0.9818984374383648,-1.0472906235041104,-0.1836153476926169,-1.6447322796576989,0.5714285714285714,1.1142857142857143,0.039,0.2042335030221758,-0.2962529026184072,-0.12556214656002707,-0.17668087722711173,-2.6524718298157257,-0.06868760554570287,-0.4560046316704245,-0.9817788065175436,-0.17562677895468015,shrunk_50_to_equal,0.3,0.425,0.15,0.125,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15.0,4,0,-0.11390030341878202,-0.2086348812176091,-1.0700069449404992,False,False,False,False,False
shrunk_50_to_equal,sticky_l_s,14,fold_4,eligible_sensitivity,7,-0.2086348812176091,-0.5816827100213544,0.32474616536018786,-2.5026530210134195,-5.6681897009900934,-0.14223262096007194,-4.089657534924049,0.14285714285714285,1.0571428571428572,0.037000000000000005,-0.09092618285710707,-0.11770869836050202,-0.0063214295477062804,-0.583571950717775,-1.1280689939769886,-0.0049804554583992265,-0.8567268299490778,0.5212575307535443,-0.013866329613610118,shrunk_50_to_equal,0.225,0.42500000000000004,0.225,0.125,2024-05-01,2025-07-17,2025-08-01,2025-10-31,15.0,4,0,-0.11390030341878202,-0.2086348812176091,-1.0700069449404992,False,False,False,False,False
shrunk_50_to_equal,sticky_l_s,14,Test,eligible_sensitivity,13,0.14087456942630427,0.3025376731971967,0.128964082788433,2.118971198872284,4.9381842243921765,-0.04345823590091147,6.961572804911104,0.6923076923076923,0.9846153846153847,0.064,-0.28923388204233946,0.43010845146864374,-0.26692531358605665,0.1702072295296526,1.794380322365427,-0.7355758385610599,-0.12597089132506603,-0.317309488447171,0.2566670327136992,shrunk_50_to_equal,0.4,0.35,0.125,0.125,,,,,,4,0,-0.11390030341878202,-0.2086348812176091,-1.0700069449404992,False,False,False,False,False
shrunk_75_to_equal,sticky_l_s,14,Validation,eligible_sensitivity,13,-0.26014227504122367,-0.4535159894774715,0.3739825382257794,-1.407011750306534,-1.3887120730350035,-0.3348423157765138,-1.3544165958407866,0.6153846153846154,1.276923076923077,0.08300000000000002,0.1312957529760912,-0.39143802801731487,-0.25670371451663204,-0.38145980303957383,-1.5844966027185148,-0.1842822967177612,-0.9510686983339651,-0.294084139799635,-0.20557731152230851,shrunk_75_to_equal,0.325,0.3,0.1875,0.1875,,,,,,4,0,-0.10285155934943846,-0.16408213409154304,-0.7396954461776819,False,False,False,False,False
shrunk_75_to_equal,sticky_l_s,14,fold_1,eligible_sensitivity,7,-0.09816764947551526,-0.3194398144420011,0.688144035172759,-0.21450473428290628,-0.18714085983447534,-0.3295184659151321,-0.9694140009873474,0.7142857142857143,1.2000000000000004,0.042,0.3901996605680973,-0.48836731004361256,0.02581385263450114,-0.3816785886062696,-1.6633638679995817,0.021292603859885934,-0.4124824095156929,-1.2159616988176052,-0.25025966242844,shrunk_75_to_equal,0.2375,0.3375,0.2375,0.1875,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15.0,4,0,-0.10285155934943846,-0.16408213409154304,-0.7396954461776819,False,False,False,False,False
